problem,n,m,success,objective,infeasibility,evaluations,time,exit_code,message
DJTL,2,0,True,-8812.574640150144,0.0,119,0.0008399486541748047,3,Function tolerance reached
DMN15102LS,66,0,True,13114.342144539378,0.0,25,1.103198528289795,3,Function tolerance reached
DMN15103LS,99,0,True,12608.948488904382,0.0,26,2.031003475189209,3,Function tolerance reached
DMN15332LS,66,0,True,1763.9465285425158,0.0,90,7.6305952072143555,3,Function tolerance reached
DMN15333LS,99,0,True,1796.722445174577,0.0,46,5.246858358383179,3,Function tolerance reached
DMN37142LS,66,0,True,332.01091702166275,0.0,203,21.43826699256897,3,Function tolerance reached
DMN37143LS,99,0,True,366.76884253454074,0.0,74,9.602435111999512,3,Function tolerance reached
DNIEPER,57,24,False,-1677.1542971677814,97.4683290308651,167,0.37295103073120117,3,Infeasible solution
DUAL1,85,1,True,0.03503355615125371,6.142300640564469e-08,465,1.424098014831543,3,Function tolerance reached
DUAL2,96,1,True,0.03376539320744673,3.752297023616735e-08,492,1.973099946975708,3,Function tolerance reached
DUAL3,111,1,True,0.13620491225387954,7.554643751135192e-07,493,2.851910352706909,3,Function tolerance reached
DUAL4,75,1,True,0.7478090814436605,1.0295818180764034e-07,535,1.0855340957641602,3,Function tolerance reached
DUALC1,9,215,False,0.0,1.0,3,0.017838478088378906,3,Infeasible solution
DUALC2,7,229,False,0.0,1.0,3,0.016090869903564453,3,Infeasible solution
DUALC5,8,278,False,0.0,1.0,3,0.021422386169433594,3,Infeasible solution
DUALC8,8,503,False,0.0,1.0,3,0.039045095443725586,3,Infeasible solution
ECKERLE4,3,35,False,0.0,0.8364784379862741,45,0.018491506576538086,3,Infeasible solution
ECKERLE4LS,3,0,True,0.6996960938590312,0.0,6,0.00021648406982421875,3,Function tolerance reached
EG1,3,0,False,nan,nan,nan,nan,,Optimization error: 
EGGCRATE,2,0,True,9.48819737196019,0.0,15,0.0001494884490966797,3,Function tolerance reached
EGGCRATEB,2,0,True,9.488197359557317,0.0,15,0.0002014636993408203,3,Function tolerance reached
EGGCRATENE,2,4,False,0.0,5.345225896354257,33,0.002592325210571289,3,Infeasible solution
EIGMAXA,101,101,False,-1.0,56.44014617273772,8,0.20879006385803223,3,Infeasible solution
EIGMAXB,101,101,False,-1.0,0.9899494936611669,3,0.04672074317932129,3,Infeasible solution
EIGMAXC,202,202,False,-1.0,57.860063776767944,8,1.0135118961334229,3,Infeasible solution
