problem,n,m,status,obj,constraint,iter,count_cost,total_time,message
GOULDQP1,32,17,1,-3485.1831177575314,1.0382634294439988e-08,3,760,0.016216039657592773,
GROUPING,100,125,0,16.271377321764074,1.8232130416290708,6,1031,0.1511991024017334,
GROWTH,3,12,0,0.0,1.907497865975113,89,1000,0.02855086326599121,
GROWTHLS,3,0,1,3542.14903046,0.0,2,35,0.005217790603637695,
GULF,3,0,1,0.00012107558998671202,0.0,3,89,0.005504608154296875,
GULFNE,3,99,0,0.0,0.007247796871095464,83,1000,0.4954864978790283,
HADAMALS,380,0,0,13906.343699678406,0.0,1,1144,0.09120011329650879,
HAHN1,7,236,0,0.0,8.356939211439895,52,1004,1.824239730834961,
HAHN1LS,7,0,1,58017.83644048584,0.0,2,47,0.003906726837158203,
HAIFAM,99,150,0,89.72947091069,0.0,2,1038,0.11018800735473633,
HAIFAS,13,9,1,0.0,0.0,27,1002,0.021683931350708008,
HAIRY,2,0,1,20.000000063291992,0.0,3,78,0.004093647003173828,
HALDMADS,6,42,-3,nan,0.0,34,774,0.021628379821777344,
HART6,6,0,1,-3.322850939778035,0.0,3,103,0.003862619400024414,
HATFLDA,4,0,1,1.5449225466628654e-05,0.0,4,116,0.003833770751953125,
HATFLDANE,4,4,0,0.0,0.12833596634658279,58,1000,0.018423080444335938,
HATFLDB,4,0,1,0.005573729375112065,0.0,3,92,0.004665851593017578,
HATFLDBNE,4,4,0,0.0,0.13532597555997009,60,1000,0.01878499984741211,
HATFLDC,25,0,1,1.2486410441589197e-05,0.0,3,423,0.008024215698242188,
HATFLDCNE,25,25,0,0.0,0.0002569663313290438,23,1017,0.05228614807128906,
HATFLDD,3,0,1,1.0901031655006925e-05,0.0,2,41,0.003093719482421875,
HATFLDDNE,3,10,0,0.0,0.0005046699538052701,96,1000,0.02578878402709961,
HATFLDE,3,0,1,0.0001330469855251775,0.0,2,48,0.004945516586303711,
HATFLDENE,3,21,0,0.0,0.000730083983448211,92,1000,0.03914928436279297,
HATFLDF,3,3,1,0.0,5.257667446261854e-07,37,441,0.012083053588867188,
HATFLDFL,3,0,1,6.65919080952708e-05,0.0,2,24,0.0033631324768066406,
HATFLDFLNE,3,3,0,0.0,0.007985291168423505,90,1000,0.017384767532348633,
HATFLDFLS,3,0,1,0.0023803461625201416,0.0,2,22,0.003635406494140625,
HATFLDG,25,25,0,0.0,8.489186850616371e-06,21,1023,0.026638031005859375,
HATFLDGLS,25,0,1,3.3260058882532364e-05,0.0,4,730,0.006827354431152344,
HATFLDH,4,7,1,-24.49977406806791,0.0,3,66,0.008204460144042969,
HEART6,6,6,0,0.0,4.908993373963832,63,1000,0.021204471588134766,
HEART6LS,6,0,1,18.84060283857932,0.0,17,793,0.009394645690917969,
HEART8,8,8,0,0.0,8.168863724017227e-06,51,1002,0.020800352096557617,
